Year,Country,Elo,CONF,PopulationOLD, X4yrAgoGDP ,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC, Population 
2017,Afghanistan,1149,AFC,39301491,52614714790,1339,0,0,43473224
2017,Albania,1610,UEFA,2862910,16449826816,5746,1,0,2852402
2017,Algeria,1539,CAF,44320524,233017000000,5258,1,0,47541074
2017,Andorra,1012,UEFA,75716,3356567317,44331,.,0,74488
2017,Angola,1242,CAF,34080945,181224000000,5317,1,0,38997559
2017,Antigua and Barbuda,1204,CONCACAF,106341,1854122482,17436,0,0,110854
2017,Argentina,1984,CONMEBOL,46015341,765718000000,16641,1,0,47828368
2017,Armenia,1481,UEFA,2953117,14990230121,5076,.,0,2975959
2017,Aruba,924,CONCACAF,107055,.,.,0,0,108876
2017,Australia,1728,AFC,26227990,1585520000000,60451,0,0,27964931
2017,Austria,1710,UEFA,9106711,485774000000,53342,1,0,9414257
2017,Azerbaijan,1401,UEFA,10294584,54444895230,5289,0,0,10745675
2017,Bahrain,1417,AFC,1803475,48792112021,27054,1,0,2179122
2017,Bangladesh,806,AFC,171763528,401794000000,2339,0,0,179162896
2017,Barbados,1138,CONCACAF,288633,5600931701,19405,0,0,291577
2017,Belarus,1498,UEFA,9533290,67338416290,7064,1,0,9558773
2017,Belgium,1928,UEFA,11536411,564216000000,48907,1,0,11703129
2017,Belize,1158,CONCACAF,407607,2510015213,6158,.,0,443426
2017,Benin,1415,CAF,12495418,20150742490,1613,.,0,13970989
2017,Bermuda,1196,CONCACAF,65843,.,.,0,0,66247
2017,Bhutan,591,AFC,848476,3525908758,4156,0,0,891410
2017,Bolivia,1707,CONMEBOL,11736716,52421743891,4466,1,0,12464304
2017,Bosnia and Herzegovina,1723,UEFA,3468147,22410619105,6462,1,0,3429708
2017,Botswana,1253,CAF,2466673,22580640141,9154,.,0,2655050
2017,Brazil,2114,CONMEBOL,215986401,2440910000000,11301,1,0,222898892
2017,British Virgin Islands,608,CONCACAF,33451,.,.,.,0,35869
2017,Bulgaria,1621,UEFA,6873139,66215272807,9634,1,0,6676102
2017,Burkina Faso,1606,CAF,21582786,30967069269,1435,1,0,24269650
2017,Burundi,1317,CAF,12363552,12920303188,1045,.,0,14069769
2017,Cambodia,810,AFC,17023438,37931019846,2228,0,0,18106260
2017,Cameroon,1646,CAF,26713353,61342798110,2296,1,0,29667054
2017,Canada,1524,CONCACAF,38548334,1951420000000,50623,0,0,40480841
2017,Cayman Islands,949,CONCACAF,64862,.,.,.,0,68342
2017,Central African Republic,1297,CAF,4928008,5689558176,1155,1,0,5212459
2017,Chad,1256,CAF,16864332,24186176331,1434,.,0,19087639
2017,Chile,1860,CONMEBOL,18648875,331052000000,17752,1,0,19262576
2017,China,1564,AFC,1417839657,12104100000000,8537,0,0,1449997507
2017,Colombia,1927,CONMEBOL,50756863,389004000000,7664,1,0,52506406
