Year,Team,AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGECOUNT,HEIGHTCOUNT,AGEHEIGHT,Place,MaxRounds,Perf,PerfPer
1962,Argentina,25.4,25,11,1.764736842,1.78,20,19,44.5,4,4,0,0
1962,Brazil,27.5,27.5,19,.,.,22,7,.,0,4,4,1
1962,Bulgaria,24.77777778,24.5,13,.,.,18,12,.,4,4,0,0
1962,Chile,24.88235294,25,15,1.733529412,1.75,17,17,43.75,2,4,2,0.5
1962,Colombia,25.93333333,24,13,1.760769231,1.75,15,13,42,4,4,0,0
1962,Czechoslovakia,25.72727273,26,12,1.771428571,1.78,22,14,46.28,1,4,3,0.75
1962,England,25.40909091,26,9,1.761333333,1.78,22,15,46.28,3,4,1,0.25
1962,Hungary,25.1,24,16,1.760714286,1.75,20,14,42,3,4,1,0.25
1962,Italy,24.77272727,25,14,1.7675,1.75,22,20,43.75,4,4,0,0
1962,Mexico,26.25,26,12,1.741428571,1.74,16,14,45.24,4,4,0,0
1962,Spain,27.54545455,27,15,.,.,22,12,.,4,4,0,0
1962,Switzerland,28.33333333,28,11,1.752307692,1.75,21,13,49,4,4,0,0
1962,USSR,25.33333333,25,12,1.765263158,1.78,21,19,44.5,3,4,1,0.25
1962,Uruguay,24.17647059,23,14,1.761428571,1.75,17,14,40.25,4,4,0,0
1962,West Germany,25.40909091,25.5,14,.,.,22,12,.,3,4,1,0.25
1962,Yugoslavia,25.05,24,14,1.768235294,1.75,20,17,42,2,4,2,0.5
1966,Argentina,26.27272727,25.5,15,1.779285714,1.78,22,14,45.39,3,4,1,0.25
1966,Brazil,26.27272727,24.5,20,.,.,22,11,.,4,4,0,0
1966,Bulgaria,26.27272727,25.5,16,.,.,22,12,.,4,4,0,0
1966,Chile,25.31818182,24.5,15,1.743529412,1.75,22,17,42.875,4,4,0,0
1966,England,26.36363636,27,11,1.767368421,1.78,22,19,48.06,0,4,4,1
1966,France,25.86363636,25.5,12,1.7375,1.73,22,16,44.115,4,4,0,0
1966,Hungary,27,26,23,1.776923077,1.78,22,13,46.28,3,4,1,0.25
1966,Italy,25.40909091,26,8,1.775,1.78,22,20,46.28,4,4,0,0
1966,Mexico,25.04545455,24,17,1.76,1.75,22,14,42,4,4,0,0
1966,North Korea,22.63636364,22,8,.,.,22,11,.,3,4,1,0.25
1966,Portugal,27.5,26.5,15,.,.,22,9,.,2,4,2,0.5
1966,Spain,26.40909091,26,12,1.748,1.75,22,15,45.5,4,4,0,0
1966,Switzerland,26.59090909,27,14,1.755294118,1.75,22,17,47.25,4,4,0,0
1966,USSR,25.95454545,26,17,1.755,1.75,22,20,45.5,2,4,2,0.5
1966,Uruguay,26.04545455,26,16,1.755555556,1.75,22,18,45.5,3,4,1,0.25
1966,West Germany,25.22727273,26,10,1.781111111,1.78,22,18,46.28,1,4,3,0.75
1970,Belgium,25.86363636,25.5,8,1.754615385,1.75,22,13,44.625,4,4,0,0
1970,Brazil,24.40909091,24,14,.,.,22,10,.,0,4,4,1
1970,Bulgaria,26.04761905,26,13,1.774285714,1.78,21,14,46.28,4,4,0,0
1970,Czechoslovakia,24.95454545,25,15,1.767777778,1.78,22,18,44.5,4,4,0,0
1970,El Salvador,24.875,24.5,10,1.741875,1.75,16,16,42.875,4,4,0,0
1970,England,27.04545455,27.5,12,1.788,1.8,22,20,49.5,3,4,1,0.25
1970,Israel,23.86666667,23,7,.,.,15,12,.,4,4,0,0
1970,Italy,26.72727273,26.5,8,1.774,1.78,22,20,47.17,1,4,3,0.75
1970,Mexico,26.47058824,27,9,1.735625,1.74,17,16,46.98,3,4,1,0.25
1970,Morocco,.,.,.,1.747647059,1.75,2,17,.,4,4,0,0
1970,Peru,25.38888889,26.5,12,1.737222222,1.75,18,18,46.375,3,4,1,0.25
1970,Romania,24.90909091,25,9,1.771538462,1.78,22,13,44.5,4,4,0,0
1970,Sweden,26.36363636,27,9,1.792352941,1.78,22,17,48.06,4,4,0,0
1970,USSR,26.63636364,26,19,1.766363636,1.75,22,22,45.5,3,4,1,0.25
1970,Uruguay,25.38095238,25,12,1.738421053,1.75,21,19,43.75,2,4,2,0.5
1970,West Germany,27.22727273,26.5,11,1.775263158,1.75,22,19,46.375,2,4,2,0.5
1974,Argentina,26.18181818,26,13,1.748421053,1.75,22,19,45.5,3,4,1,0.25
1974,Australia,27.04545455,27,11,1.780714286,1.765,22,14,47.655,4,4,0,0
1974,Brazil,25.63636364,25,12,.,.,22,10,.,2,4,2,0.5
1974,Bulgaria,25.5,25,10,1.764285714,1.765,22,14,44.125,4,4,0,0
1974,Chile,27.40909091,28,11,1.75625,1.75,22,16,49,4,4,0,0
1974,East Germany,25.86363636,26.5,13,1.775263158,1.78,22,19,47.17,3,4,1,0.25
1974,Haiti,25.5,24.5,9,1.758333333,1.75,22,18,42.875,4,4,0,0
1974,Holland,26.77272727,27,11,1.802,1.8,22,15,48.6,1,4,3,0.75
1974,Italy,28.27272727,28,12,1.792,1.78,22,20,49.84,4,4,0,0
1974,Poland,24.13636364,24.5,10,1.795,1.79,22,18,43.855,2,4,2,0.5
1974,Scotland,25.72727273,25,15,1.780714286,1.78,22,14,44.5,4,4,0,0
1974,Sweden,27.22727273,27.5,12,1.806666667,1.8,22,18,49.5,3,4,1,0.25
1974,Uruguay,26.36363636,27,15,1.757333333,1.75,22,15,47.25,4,4,0,0
1974,West Germany,26.72727273,27,8,1.777368421,1.8,22,19,48.6,0,4,4,1
1974,Yugoslavia,25.27272727,25.5,12,1.782631579,1.75,22,19,44.625,3,4,1,0.25
1974,Zaire,25.27272727,25,6,1.709285714,1.75,22,14,43.75,4,4,0,0
1978,Argentina,25.81818182,25.5,7,1.753529412,1.75,22,17,44.625,0,4,4,1
1978,Austria,26.31818182,26,11,1.786470588,1.78,22,17,46.28,3,4,1,0.25
1978,Brazil,25,24.5,12,.,.,22,8,.,2,4,2,0.5
1978,France,25.81818182,25.5,12,1.779047619,1.78,22,21,45.39,4,4,0,0
1978,Holland,27.72727273,26.5,17,1.816315789,1.8,22,19,47.7,1,4,3,0.75
1978,Hungary,26.54545455,27,9,1.786111111,1.78,22,18,48.06,4,4,0,0
1978,Iran,25.18181818,25,10,1.761428571,1.75,22,14,43.75,4,4,0,0
1978,Italy,25.95454545,26,16,1.787727273,1.78,22,22,46.28,2,4,2,0.5
1978,Mexico,23.63636364,24.5,9,1.765,1.765,22,18,43.2425,4,4,0,0
1978,Peru,26.45454545,26.5,12,1.751176471,1.75,22,17,46.375,3,4,1,0.25
1978,Poland,25.68181818,27,13,1.814210526,1.8,22,19,48.6,3,4,1,0.25
1978,Scotland,27.40909091,27,9,1.760588235,1.78,22,17,48.06,4,4,0,0
1978,Spain,26.68181818,26.5,10,.,.,22,12,.,4,4,0,0
1978,Sweden,26.81818182,28,15,1.826,1.83,22,15,51.24,4,4,0,0
1978,Tunisia,25.22727273,24.5,11,.,.,22,11,.,4,4,0,0
1978,West Germany,26.86363636,27,14,1.7913636,1.8,22,22,48.6,3,4,1,0.25
1982,Algeria,26.40909091,27,9,1.792352941,1.78,22,17,48.06,4,4,0,0
1982,Argentina,26.81818182,27,13,1.748333333,1.725,22,18,46.575,3,4,1,0.25
1982,Austria,26.63636364,26,13,1.811764706,1.8,22,17,46.8,3,4,1,0.25
1982,Belgium,27.22727273,27.5,16,1.795454545,1.8,22,22,49.5,3,4,1,0.25
1982,Brazil,26.27272727,27,9,.,.,22,9,.,3,4,1,0.25
1982,Cameroon,.,.,.,.,.,11,11,.,4,4,0,0
1982,Chile,27.5,27.5,14,1.763846154,1.78,22,13,48.95,4,4,0,0
1982,Czechoslovakia,27.63636364,27.5,11,.,.,22,10,.,4,4,0,0
1982,El Salvador,26.35,26,11,1.764615385,1.75,20,13,45.5,4,4,0,0
1982,England,28.09090909,28,11,1.790526316,1.8,22,19,50.4,3,4,1,0.25
1982,France,26.54545455,26,14,1.774090909,1.78,22,22,46.28,2,4,2,0.5
1982,Honduras,26.90909091,26.5,13,.,.,22,9,.,4,4,0,0
1982,Hungary,28.36363636,27,24,1.788823529,1.8,22,17,48.6,4,4,0,0
1982,Italy,26.86363636,27,22,1.7845,1.78,22,20,48.06,0,4,4,1
