AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGEHEIGHT,PerfPer
25.4,25,11,1.764736842,1.78,44.5,0
27.5,27.5,19,.,.,.,1
24.77777778,24.5,13,.,.,.,0
24.88235294,25,15,1.733529412,1.75,43.75,0.5
25.93333333,24,13,1.760769231,1.75,42,0
25.72727273,26,12,1.771428571,1.78,46.28,0.75
25.40909091,26,9,1.761333333,1.78,46.28,0.25
25.1,24,16,1.760714286,1.75,42,0.25
24.77272727,25,14,1.7675,1.75,43.75,0
26.25,26,12,1.741428571,1.74,45.24,0
27.54545455,27,15,.,.,.,0
28.33333333,28,11,1.752307692,1.75,49,0
25.33333333,25,12,1.765263158,1.78,44.5,0.25
24.17647059,23,14,1.761428571,1.75,40.25,0
25.40909091,25.5,14,.,.,.,0.25
25.05,24,14,1.768235294,1.75,42,0.5
26.27272727,25.5,15,1.779285714,1.78,45.39,0.25
26.27272727,24.5,20,.,.,.,0
26.27272727,25.5,16,.,.,.,0
25.31818182,24.5,15,1.743529412,1.75,42.875,0
26.36363636,27,11,1.767368421,1.78,48.06,1
25.86363636,25.5,12,1.7375,1.73,44.115,0
27,26,23,1.776923077,1.78,46.28,0.25
25.40909091,26,8,1.775,1.78,46.28,0
25.04545455,24,17,1.76,1.75,42,0
22.63636364,22,8,.,.,.,0.25
27.5,26.5,15,.,.,.,0.5
26.40909091,26,12,1.748,1.75,45.5,0
26.59090909,27,14,1.755294118,1.75,47.25,0
25.95454545,26,17,1.755,1.75,45.5,0.5
26.04545455,26,16,1.755555556,1.75,45.5,0.25
25.22727273,26,10,1.781111111,1.78,46.28,0.75
25.86363636,25.5,8,1.754615385,1.75,44.625,0
24.40909091,24,14,.,.,.,1
26.04761905,26,13,1.774285714,1.78,46.28,0
24.95454545,25,15,1.767777778,1.78,44.5,0
24.875,24.5,10,1.741875,1.75,42.875,0
27.04545455,27.5,12,1.788,1.8,49.5,0.25
23.86666667,23,7,.,.,.,0
26.72727273,26.5,8,1.774,1.78,47.17,0.75
26.47058824,27,9,1.735625,1.74,46.98,0.25
.,.,.,1.747647059,1.75,.,0
25.38888889,26.5,12,1.737222222,1.75,46.375,0.25
24.90909091,25,9,1.771538462,1.78,44.5,0
26.36363636,27,9,1.792352941,1.78,48.06,0
26.63636364,26,19,1.766363636,1.75,45.5,0.25
25.38095238,25,12,1.738421053,1.75,43.75,0.5
27.22727273,26.5,11,1.775263158,1.75,46.375,0.5
26.18181818,26,13,1.748421053,1.75,45.5,0.25
27.04545455,27,11,1.780714286,1.765,47.655,0
25.63636364,25,12,.,.,.,0.5
25.5,25,10,1.764285714,1.765,44.125,0
27.40909091,28,11,1.75625,1.75,49,0
25.86363636,26.5,13,1.775263158,1.78,47.17,0.25
25.5,24.5,9,1.758333333,1.75,42.875,0
26.77272727,27,11,1.802,1.8,48.6,0.75
28.27272727,28,12,1.792,1.78,49.84,0
24.13636364,24.5,10,1.795,1.79,43.855,0.5
25.72727273,25,15,1.780714286,1.78,44.5,0
27.22727273,27.5,12,1.806666667,1.8,49.5,0.25
26.36363636,27,15,1.757333333,1.75,47.25,0
26.72727273,27,8,1.777368421,1.8,48.6,1
25.27272727,25.5,12,1.782631579,1.75,44.625,0.25
25.27272727,25,6,1.709285714,1.75,43.75,0
25.81818182,25.5,7,1.753529412,1.75,44.625,1
26.31818182,26,11,1.786470588,1.78,46.28,0.25
25,24.5,12,.,.,.,0.5
25.81818182,25.5,12,1.779047619,1.78,45.39,0
27.72727273,26.5,17,1.816315789,1.8,47.7,0.75
26.54545455,27,9,1.786111111,1.78,48.06,0
25.18181818,25,10,1.761428571,1.75,43.75,0
25.95454545,26,16,1.787727273,1.78,46.28,0.5
23.63636364,24.5,9,1.765,1.765,43.2425,0
26.45454545,26.5,12,1.751176471,1.75,46.375,0.25
25.68181818,27,13,1.814210526,1.8,48.6,0.25
27.40909091,27,9,1.760588235,1.78,48.06,0
26.68181818,26.5,10,.,.,.,0
26.81818182,28,15,1.826,1.83,51.24,0
25.22727273,24.5,11,.,.,.,0
26.86363636,27,14,1.7913636,1.8,48.6,0.25
26.40909091,27,9,1.792352941,1.78,48.06,0
26.81818182,27,13,1.748333333,1.725,46.575,0.25
26.63636364,26,13,1.811764706,1.8,46.8,0.25
27.22727273,27.5,16,1.795454545,1.8,49.5,0.25
26.27272727,27,9,.,.,.,0.25
.,.,.,.,.,.,0
27.5,27.5,14,1.763846154,1.78,48.95,0
27.63636364,27.5,11,.,.,.,0
26.35,26,11,1.764615385,1.75,45.5,0
28.09090909,28,11,1.790526316,1.8,50.4,0.25
26.54545455,26,14,1.774090909,1.78,46.28,0.5
26.90909091,26.5,13,.,.,.,0
28.36363636,27,24,1.788823529,1.8,48.6,0
26.86363636,27,22,1.7845,1.78,48.06,1
.,.,.,1.744615385,1.75,.,0
25.90909091,24.5,16,1.784,1.78,43.61,0
27.04545455,26,20,1.791333333,1.78,46.28,0.25
27.22727273,28,12,.,.,.,0
25.36363636,26,12,1.789473684,1.78,46.28,0.5
26.36363636,25.5,14,1.7915,1.79,45.645,0
26.45454545,26,13,1.7725,1.78,46.28,0.25
25.22727273,25,10,1.7915,1.79,44.75,0.25
26.09090909,26,12,1.804090909,1.8,46.8,0.75
25.90909091,25.5,12,1.802666667,1.8,45.9,0
28.04545455,28,10,1.793125,1.78,49.84,0
26.45454545,26.5,13,1.774761905,1.75,46.375,1
27.04545455,27.5,14,1.79,1.8,49.5,0.6
26.63636364,25.5,16,.,.,.,0.4
25.59090909,24.5,12,.,.,.,0.2
25.5,25,14,1.788,1.78,44.5,0
27.40909091,27.5,16,1.816,1.83,50.325,0.2
26.18181818,26,14,1.818636364,1.83,47.58,0.4
27.5,27.5,11,1.788181818,1.78,48.95,0.6
26.54545455,26.5,12,1.807857143,1.815,48.0975,0
27,27.5,14,.,.,.,0
27.04545455,27.5,12,1.789545455,1.78,48.95,0.2
25.59090909,25.5,10,1.770666667,1.78,45.39,0.4
25.76190476,26,15,1.761538462,1.78,46.28,0.2
26.59090909,25.5,20,1.800588235,1.8,45.9,0
26.31818182,25.5,9,1.771538462,1.75,44.625,0.2
26.22727273,26,10,1.804545455,1.79,46.54,0.2
27.45454545,27.5,18,1.747647059,1.75,48.125,0
27.04545455,27,13,1.794,1.8,48.6,0
25.90909091,25,13,1.775454545,1.765,44.125,0
26.27272727,26.5,13,1.781875,1.78,47.17,0.4
25.95454545,25,13,1.795909091,1.8,45,0.2
26.04545455,26,9,1.764117647,1.78,46.28,0.2
27.72727273,28.5,12,1.799090909,1.8,51.3,0.8
27.18181818,27,11,1.788636364,1.79,48.33,0.8
24.72727273,24,12,1.826,1.83,43.92,0
27,26,15,1.803809524,1.8,46.8,0.2
26.09090909,26,12,1.78125,1.78,46.28,0.2
26.59090909,25.5,18,1.793888889,1.815,46.2825,0.4
25.77272727,26,14,1.766111111,1.78,46.28,0.2
26.36363636,26,14,1.776,1.78,46.28,0.2
27.27272727,27,9,1.825,1.83,49.41,0.4
26,26.5,12,.,.,.,0
27.77272727,27,17,1.814090909,1.8,48.6,0.6
26.77272727,27,15,1.819545455,1.815,49.005,0.2
26.40909091,26,12,1.807727273,1.8,46.8,0.6
28.5,29,13,1.818095238,1.8,52.2,0.4
25.68181818,25,14,1.791176471,1.78,44.5,0.2
27.04545455,26.5,9,1.805,1.815,48.0975,0
26.77272727,28,11,1.781818182,1.78,49.84,0
25.81818182,25.5,11,1.796111111,1.78,45.39,0.2
24.86363636,24.5,10,1.842,1.84,45.08,0
23.40909091,24,8,1.802777778,1.8,43.2,0
27.77272727,28,11,1.811363636,1.83,51.24,0
25.13636364,26,12,1.745625,1.74,45.24,0
27.27272727,27.5,16,1.781875,1.79,49.225,0.2
27.22727273,28,11,1.79,1.8,50.4,1
25.77272727,25.5,15,1.824444444,1.83,46.665,0.4
27.45454545,27.5,13,1.7985,1.8,49.5,0.2
29.04545455,29,13,1.811363636,1.83,53.07,0
27.04545455,27,16,1.758,1.78,48.06,0
27.18181818,27.5,18,1.7935,1.78,48.95,1
27.59090909,27,9,1.806315789,1.8,48.6,0.6
27.18181818,26,24,1.786363636,1.78,46.28,0
26.77272727,26,12,1.79,1.8,46.8,0
28.68181818,28.5,9,1.812272727,1.815,51.7275,0.4
28.45454545,28.5,15,1.82,1.83,52.155,0
26.90909091,27,12,1.826363636,1.8,48.6,0.4
27.40909091,27,12,1.797272727,1.8,48.6,0.8
27.68181818,27,11,1.785238095,1.78,48.06,0.2
26.09090909,27,11,1.7985,1.8,48.6,0
25.45454545,26,13,1.817727273,1.815,47.19,0.2
26.40909091,26,12,1.843181818,1.84,47.84,0
28.72727273,28.5,19,1.800454545,1.8,51.3,0.2
24.81818182,25,9,1.792,1.78,44.5,0.4
25.86363636,25,12,1.8145,1.83,45.75,0
23.81818182,22.5,15,1.784210526,1.78,40.05,0.2
26.54545455,27,12,1.75047619,1.75,47.25,0
26.04545455,26,13,1.797727273,1.8,46.8,0.4
25.22727273,25,14,1.831818182,1.83,45.75,0.6
27.77272727,27,14,1.798571429,1.8,48.6,0.2
26.09090909,25,17,1.803636364,1.8,45,0.2
26.04545455,25,10,1.786818182,1.78,44.5,0.4
29.09090909,29.5,13,1.824545455,1.83,53.985,0
29.45454545,29.5,17,1.822727273,1.83,53.985,0
27.36363636,27,14,1.806363636,1.78,48.06,0.8
27.63636364,28,13,1.811818182,1.815,50.82,0
23.31818182,23,18,1.817272727,1.8,41.4,0
26.40909091,27,13,1.761363636,1.75,47.25,0.2
27.5,27.5,16,1.787272727,1.78,48.95,0
27.54545455,28.5,17,1.836363636,1.83,52.155,0.6
28.77272727,28,11,1.829545455,1.83,51.24,0.4
27.59090909,29.5,16,1.825909091,1.83,53.985,0.2
26.77272727,27,14,1.828181818,1.83,49.41,1
29.81818182,30.5,13,1.821818182,1.84,56.12,0.4
26.54545455,27,11,1.830909091,1.83,49.41,0.6
26.59090909,26.5,14,1.802727273,1.8,47.7,0
27.04545455,27,14,1.809545455,1.8,48.6,0.4
26.13636364,26,15,1.801363636,1.79,46.54,0
25.40909091,25,14,1.777272727,1.78,44.5,0
26.81818182,25,15,1.758181818,1.75,43.75,0.2
26.31818182,26,13,1.798636364,1.8,46.8,0
26.04545455,24.5,15,1.814545455,1.8,44.1,0.2
27.68181818,28,14,1.847272727,1.865,52.22,0.2
26.13636364,27,12,1.792272727,1.78,48.06,0.2
27.90909091,28.5,11,1.806363636,1.805,51.4425,0.2
25.13636364,24,13,1.78,1.78,42.72,0
29.31818182,29,15,1.800909091,1.8,52.2,0
26.09090909,26,17,1.816190476,1.8,46.8,0
25.5,26,13,1.805909091,1.83,47.58,0
26.68181818,27,16,1.812272727,1.8,48.6,0
25.54545455,25,15,1.798181818,1.78,44.5,0
28.36363636,28,12,1.812727273,1.815,50.82,0
27.68181818,28.5,14,1.833636364,1.83,52.155,0.2
28.43478261,28,11,1.784782609,1.78,49.84,0
28.73913043,29,13,1.834347826,1.83,53.07,0.2
26.13043478,26,11,1.813913043,1.83,47.58,1
25.2173913,25,20,1.804347826,1.8,45,0
25.82608696,26,14,1.831304348,1.83,47.58,0
27,27,16,1.778181818,1.75,47.25,0
27.52173913,27,13,1.837391304,1.83,49.41,0
27.34782609,25,17,1.820869565,1.83,45.75,0.2
27.26086957,27,13,1.79,1.78,48.06,0
26.7826087,27,18,1.812173913,1.8,48.6,0.4
28.17391304,29,14,1.823478261,1.83,53.07,0
27.73913043,28,12,1.850434783,1.88,52.64,0.8
27.52173913,28,12,1.824782609,1.8,50.4,0.2
25.34782609,25,12,1.786086957,1.8,45,0.2
28.47826087,28,12,1.765217391,1.75,49,0.2
23.43478261,22,17,1.823913043,1.83,40.26,0
27.43478261,28,16,1.787391304,1.78,49.84,0.2
28.2173913,28,11,1.83173913,1.83,51.24,0
27.7826087,29,14,1.806086957,1.8,52.2,0
26.82608696,27,15,1.807391304,1.8,48.6,0.2
27.26086957,27,21,1.82,1.83,49.41,0
25.69565217,26,9,1.783478261,1.78,46.28,0
24.91304348,24,17,1.813043478,1.83,43.92,0.4
27.30434783,27,13,1.832173913,1.83,49.41,0
26.26086957,26,14,1.807826087,1.8,46.8,0
26.56521739,26,13,1.796086957,1.8,46.8,0.6
26.56521739,26,15,1.812173913,1.8,46.8,0.4
26.60869565,28,11,1.833913043,1.8,50.4,0.2
26.69565217,26,16,1.793913043,1.78,46.28,0
27.52173913,28,12,1.789565217,1.8,50.4,0.6
28.43478261,29,14,1.783478261,1.78,51.62,0.4
25.30434783,25,10,1.814782609,1.8,45,0
26.2173913,26,14,1.792173913,1.78,46.28,0
26.08695652,25,15,1.791304348,1.78,44.5,0.4
27.95652174,27,12,1.843478261,1.83,49.41,0.2
28.34782609,29,13,1.812173913,1.83,53.07,0.4
27.34782609,28,14,1.798695652,1.8,50.4,0
25.39130435,25,12,1.796086957,1.8,45,0
27.43478261,27,14,1.842173913,1.83,49.41,0
28.56521739,28,10,1.844347826,1.83,51.24,0
26.39130435,26,14,1.789565217,1.78,46.28,0.2
25.39130435,25,19,1.822608696,1.83,45.75,0.4
28.47826087,28,11,1.809130435,1.8,50.4,0.8
26.52173913,26,15,1.836086957,1.83,47.58,0.6
24.69565217,24,10,1.803333333,1.78,42.72,0.2
26.52173913,26,16,1.837826087,1.83,47.58,0.2
26.43478261,27,17,1.802173913,1.8,48.6,0
28.34782609,29,14,1.83,1.83,53.07,1
27.17391304,27,8,1.784347826,1.78,48.06,0
27.34782609,27,18,1.75173913,1.75,47.25,0.2
26.69565217,26,16,1.790434783,1.78,46.28,0
26.60869565,27,12,1.834347826,1.83,49.41,0
28.04347826,28,13,1.798695652,1.8,50.4,0.6
26.43478261,26,13,1.780434783,1.78,46.28,0
27.82608696,27,13,1.853913043,1.85,49.95,0
25.95652174,26,15,1.807826087,1.83,47.58,0
25.86956522,25,17,1.79826087,1.8,45,0.2
27.60869565,27,12,1.838695652,1.83,49.41,0.2
25.13043478,26,15,1.830434783,1.83,47.58,0.2
24.91304348,25,14,1.815454545,1.83,45.75,0
29.08695652,29,16,1.818695652,1.8,52.2,0
26.91304348,27,20,1.816521739,1.83,49.41,0
28.17391304,28,14,1.81,1.83,51.24,0
26,27,14,1.821304348,1.83,49.41,0.4
26.30434783,26,14,1.81826087,1.83,47.58,0
27.04347826,28,16,1.812173913,1.82,50.96,0.4
28.56521739,29,15,1.832608696,1.82,52.78,0
28.69565217,29,11,1.821304348,1.83,53.07,0.4
25.08695652,24,18,1.83,1.83,43.92,0
26.08695652,27,10,1.767391304,1.77,47.79,0.2
26.65217391,27,9,1.816086957,1.8,48.6,0
27.7826087,29,17,1.843043478,1.83,53.07,0
28.43478261,29,17,1.820869565,1.83,53.07,0.2
27.39130435,28,9,1.82173913,1.83,51.24,0
25.04347826,25,16,1.849130435,1.86,46.5,0.6
23.91304348,23,14,1.807391304,1.79,41.17,0.4
27.47826087,28,16,1.849565217,1.85,51.8,0
27.52173913,26,17,1.810869565,1.81,47.06,0.8
27.86956522,28,13,1.790434783,1.8,50.4,0
28.2173913,27,13,1.817391304,1.82,49.14,0
27.69565217,28,13,1.787391304,1.78,49.84,0.2
27.08695652,28,17,1.76826087,1.76,49.28,0.2
27.34782609,28,17,1.837826087,1.83,51.24,0
25.86956522,26,14,1.833913043,1.83,47.58,0
24.86956522,25,13,1.779565217,1.78,44.5,0
28.47826087,28,13,1.811304348,1.81,50.68,0.4
27.73913043,28,11,1.817391304,1.8,50.4,0.2
25.95652174,26,11,1.862608696,1.86,48.36,0
26.13043478,26,13,1.843043478,1.86,48.36,0.2
26.7826087,26,12,1.853043478,1.86,48.36,0
26.73913043,26,11,1.78826087,1.78,46.28,0
27.2173913,27,16,1.822173913,1.82,49.14,0.2
25.95652174,25,11,1.807826087,1.83,45.75,1
26.60869565,26,17,1.832608696,1.83,47.58,0
26.95652174,26,16,1.810434783,1.82,47.32,0.2
26.56521739,25,14,1.804347826,1.81,45.25,0.6
26.13043478,26,12,1.82826087,1.84,47.84,0.2
28.34782609,28,9,1.815652174,1.8,50.4,0.8
25.69565217,25,14,1.814782609,1.8,45,0
25.43478261,26,16,1.844347826,1.85,48.1,0.4
26.56521739,27,13,1.847826087,1.84,49.68,0
27.86956522,27,14,1.809130435,1.8,48.6,0.6
26.08695652,26,15,1.814347826,1.81,47.06,0
27.47826087,27,11,1.755217391,1.76,47.52,0.2
27,27,21,1.807391304,1.81,48.87,0.4
26.91304348,27,11,1.804782609,1.78,48.06,0.4
27.34782609,27,15,1.815652174,1.8,48.6,0
26.91304348,28,14,1.840434783,1.84,51.52,0
26.91304348,26,16,1.787391304,1.8,46.8,0
26.08695652,26,17,1.825217391,1.83,47.58,0
26.26086957,27,15,1.81173913,1.84,49.68,0.4
25.7826087,25,15,1.850434783,1.85,46.25,1
24.91304348,24,11,1.800434783,1.8,43.2,0
27.82608696,27,17,1.838695652,1.84,49.68,0.2
28.04347826,28,17,1.800869565,1.8,50.4,0
27.95652174,28,13,1.838695652,1.84,51.52,0
27.39130435,27,15,1.827826087,1.86,50.22,0
26.7826087,27,11,1.77,1.77,47.79,0
26.60869565,26,14,1.773478261,1.77,46.02,0.2
25.91304348,26,13,1.804782609,1.83,47.58,0.6
