Year,Country,Elo,CONF,GDPOLD,PopulationOLD,GDPPEROLD,FAVSPORT,X1yrPopROC,Population,GDP,GDPPER,X21EloProj,2021ProjectedElo
2017,Brazil,2114,CONMEBOL,2.06E+12,209288278,9821,1,0,215986401,2.44E+12,11301,1890.590519,1891
2017,France,1989,UEFA,2.58E+12,67118648,38477,1,0,68166269,2.94E+12,43163,1853.433935,1853
2017,England,1933,UEFA,2.62E+12,66022273,39720,1,0,67762754,3.02E+12,44542,1853.042456,1853
2017,Turkey,1712,UEFA,8.51E+11,80745020,10541,1,0,85910315,1.06E+12,12301,1853.001311,1853
2017,Argentina,1984,CONMEBOL,6.38E+11,44271041,14402,1,0,46015341,7.66E+11,16641,1839.174099,1839
2017,Italy,1906,UEFA,1.93E+12,60551416,31953,1,0,60248232,2.17E+12,35996,1836.105037,1836
2017,Russian Federation,1698,UEFA,1.58E+12,144495044,10917,1,0,145107576,1.83E+12,12603,1833.296385,1833
2017,Spain,2031,UEFA,1.31E+12,46572028,28157,1,0,46925896,1.50E+12,31865,1828.625673,1829
2017,Germany,2109,UEFA,3.68E+12,82695000,44470,1,0,84097918,4.18E+12,49665,1814.678204,1815
2017,Poland,1843,UEFA,5.25E+11,37975841,13812,1,0,37998867,6.08E+11,16001,1800.060487,1800
2017,Netherlands,1896,UEFA,8.26E+11,17132854,48223,1,0,17550493,9.53E+11,54315,1795.677451,1796
2017,Colombia,1927,CONMEBOL,3.09E+11,49065615,6302,1,0,50756863,3.89E+11,7664,1761.646154,1762
2017,Peru,1882,CONMEBOL,2.11E+11,32165485,6572,1,0,33791125,2.70E+11,7981,1754.160448,1754
2017,Chile,1860,CONMEBOL,2.77E+11,18054726,15346,1,0,18648875,3.31E+11,17752,1749.782125,1750
2017,Mexico,1848,CONCACAF,1.15E+12,129163276,8903,1,0,135907460,1.42E+12,10426,1745.466559,1745
2017,Ecuador,1747,CONMEBOL,1.03E+11,16624858,6199,1,0,17627104,1.34E+11,7583,1744.299636,1744
2017,Romania,1688,UEFA,2.12E+11,19586539,10814,1,0,19131459,2.43E+11,12710,1742.813225,1743
2017,Kazakhstan,1340,UEFA,1.59E+11,18037646,8837,1,0,19052891,2.00E+11,10515,1739.359686,1739
2017,Belgium,1928,UEFA,4.93E+11,11372068,43324,1,0,11536411,5.64E+11,48907,1730.513837,1731
2017,Sweden,1825,UEFA,5.38E+11,10067744,53442,1,0,10672270,6.42E+11,60180,1729.359528,1729
2017,Hungary,1612,UEFA,1.39E+11,9781127,14225,1,0,9650859,1.59E+11,16525,1713.851985,1714
2017,Greece,1662,UEFA,2.00E+11,10760421,18613,1,0,10698490,2.29E+11,21407,1711.662651,1712
2017,Czech Republic,1713,UEFA,2.16E+11,10591323,20368,1,0,10691999,2.50E+11,23361,1710.441345,1710
2017,Portugal,1995,UEFA,2.18E+11,10293718,21136,1,0,10167947,2.46E+11,24216,1704.334664,1704
2017,Austria,1710,UEFA,4.17E+11,8809212,47291,1,0,9106711,4.86E+11,53342,1698.885383,1699
2017,Israel,1535,UEFA,3.51E+11,8712400,40270,1,0,9418084,4.29E+11,45526,1697.874239,1698
2017,Belarus,1498,UEFA,54442374373,9507875,5726,1,0,9533290,67338416290,7064,1695.944276,1696
2017,Ukraine,1738,UEFA,1.12E+11,44831159,2502,1,0,44145192,1.53E+11,3460,1681.920331,1682
2017,Switzerland,1866,UEFA,6.79E+11,8466017,80190,1,0,8849257,7.96E+11,89977,1676.762297,1677
2017,Uruguay,1867,CONMEBOL,56156972158,3456750,16246,1,0,3508295,65925354188,18791,1653.46844,1653
2017,Paraguay,1753,CONMEBOL,29734895249,6811297,4366,1,0,7168713,39796125898,5551,1640.670236,1641
2017,Bolivia,1707,CONMEBOL,37508642113,11051600,3394,1,0,11736716,52421743891,4466,1639.700289,1640
2017,Serbia,1769,UEFA,41431648801,7022268,5900,1,0,6880245,49947881634,7260,1635.593665,1636
2017,Norway,1581,UEFA,3.99E+11,5282223,75505,1,0,5478331,4.65E+11,84799,1634.246528,1634
2017,Slovakia,1748,UEFA,95769031980,5439892,17605,1,0,5476451,1.11E+11,20300,1629.405854,1629
2017,Denmark,1842,UEFA,3.25E+11,5769603,56308,1,0,5939641,3.77E+11,63410,1626.58758,1627
2017,Bulgaria,1621,UEFA,56831518294,7075991,8032,1,0,6873139,66215272807,9634,1620.581781,1621
2017,South Africa,1540,CAF,3.49E+11,56717156,6161,1,0,59631449,4.47E+11,7500,1614.217566,1614
2017,Saudi Arabia,1575,AFC,6.84E+11,32938213,20761,1,0,35756849,8.48E+11,23722,1613.795507,1614
2017,Croatia,1856,UEFA,54849180229,4125700,13295,1,0,3937786,61042048520,15502,1610.272041,1610
2017,Slovenia,1639,UEFA,48769655479,2066748,23597,1,0,2073589,55961256545,26988,1609.153651,1609
2017,South Korea,1761,AFC,1.53E+12,51466201,29743,1,0,52359638,1.76E+12,33597,1607.541008,1608
2017,Luxembourg,1322,UEFA,62404461275,599449,104103,1,0,675759,78885551549,116736,1604.235482,1604
2017,Iran,1799,AFC,4.40E+11,81162788,5415,1,0,84823437,5.64E+11,6654,1598.806664,1599
2017,Macedonia,1520,UEFA,11337827332,2083160,5443,1,0,2090998,14124783999,6755,1593.147948,1593
2017,Guatemala,1512,CONCACAF,75620095538,16913503,4471,1,0,18319460,1.04E+11,5661,1592.260058,1592
2017,Iceland,1811,UEFA,23909289979,341284,70057,1,0,365920,28829699103,78787,1589.997831,1590
2017,Nigeria,1696,CAF,3.76E+11,190886311,1969,1,0,212085319,5.99E+11,2823,1589.115752,1589
2017,Cyprus,1410,UEFA,21651791751,1179551,18356,1,0,1218178,25763502165,21149,1588.251716,1588
2017,Malta,1216,UEFA,12537750732,465292,26946,1,0,507728,15601031410,30727,1584.655723,1585
2017,Bosnia and Herzegovina,1723,UEFA,18168579578,3507017,5181,1,0,3468147,22410619105,6462,1583.774896,1584
2017,United States,1752,CONCACAF,1.94E+13,325719178,59532,0,0,335172930,2.14E+13,63889,1582.045793,1582
2017,Albania,1610,UEFA,13039352744,2873457,4538,1,0,2862910,16449826816,5746,1578.573686,1579
2017,Haiti,1495,CONCACAF,8408150518,10981229,766,1,0,11537028,17783665747,1541,1578.558312,1579
2017,Moldova,1332,UEFA,8128493432,3549750,2290,1,0,3540950,11474434387,3241,1576.254254,1576
2017,Ethiopia,1278,CAF,80561496134,104957438,768,1,0,115969460,1.78E+11,1532,1575.084839,1575
2017,Honduras,1610,CONCACAF,22978532897,9265067,2480,1,0,9905179,34171766387,3450,1574.657255,1575
2017,Egypt,1660,CAF,2.35E+11,97553151,2413,1,0,105460489,3.52E+11,3341,1573.005094,1573
2017,Georgia,1484,UEFA,15159281211,3717100,4078,1,0,3708316,19404396071,5233,1570.925159,1571
2017,Tanzania,1300,CAF,52090320325,57310019,909,1,0,64946307,1.10E+11,1694,1568.8125,1569
2017,Kenya,1397,CAF,74938190655,49699862,1508,1,0,55048277,1.30E+11,2358,1566.515416,1567
2017,Algeria,1539,CAF,1.70E+11,41318142,4123,1,0,44320524,2.33E+11,5258,1566.274602,1566
2017,Morocco,1691,CAF,1.09E+11,35739580,3054,1,0,37665122,1.54E+11,4076,1565.227197,1565
2017,Sudan,1245,CAF,1.17E+11,40533330,2899,1,0,44638223,1.74E+11,3902,1564.931423,1565
2017,Angola,1242,CAF,1.24E+11,29784193,4170,1,0,34080945,1.81E+11,5317,1564.455121,1564
2017,Burkina Faso,1606,CAF,12873114800,19193382,671,1,0,21582786,30967069269,1435,1561.770482,1562
2017,Mali,1515,CAF,15288163367,18541980,825,1,0,20939966,33631555769,1606,1561.165029,1561
2017,Cote d'Ivoire,1604,CAF,40388624117,24294750,1662,1,0,26879024,68141311684,2535,1561.098756,1561
2017,Cameroon,1646,CAF,34798596482,24053727,1447,1,0,26713353,61342798110,2296,1560.784201,1561
2017,Malawi,1305,CAF,6303277591,18622104,338,1,0,20939720,22293204903,1065,1560.509161,1561
2017,Ghana,1617,CAF,47330016343,28833629,1641,1,0,31514359,79118876477,2511,1560.508908,1561
2017,Mozambique,1316,CAF,12333859926,29668834,416,1,0,33333252,38353551639,1151,1560.445236,1560
2017,Madagascar,1368,CAF,11499803807,25570895,450,1,0,28506388,33884117111,1189,1560.40118,1560
2017,Zambia,1501,CAF,25808666422,17094130,1510,1,0,19296817,45695585207,2368,1559.362372,1559
2017,Zimbabwe,1472,CAF,17845821400,16529904,1080,1,0,18159125,34320005127,1890,1558.256244,1558
2017,Senegal,1753,CAF,16374743753,15850567,1033,1,0,17763275,32645385624,1838,1556.730746,1557
2017,Tunisia,1624,CAF,40256675209,11532127,3491,1,0,12065433,55189277575,4574,1556.30641,1556
2017,Uganda,1461,CAF,25891058946,42862958,604,1,0,48939062,66458468124,1358,1554.586235,1555
2017,Iraq,1569,AFC,1.98E+11,38274618,5166,1,0,42950692,2.76E+11,6416,1553.46067,1553
2017,Guinea,1472,CAF,10491474930,12717176,825,1,0,14106240,22667000074,1607,1550.719772,1551
2017,Canada,1524,CONCACAF,1.65E+12,36708083,45032,0,0,38548334,1.95E+12,50623,1543.452519,1543
2017,Sierra Leone,1380,CAF,3774270392,7557212,499,1,0,8244828,10261006292,1245,1539.556735,1540
2017,Suriname,1238,CONCACAF,3324385325,563402,5901,1,0,584090,4244553427,7267,1538.961756,1539
2017,Togo,1383,CAF,4812554346,7797694,617,1,0,8623046,11864616741,1376,1534.523919,1535
2017,Japan,1707,AFC,4.87E+12,126785797,38428,0,0,125955047,5.38E+12,42734,1531.255677,1531
2017,El Salvador,1456,CONCACAF,24805439600,6377853,3889,1,0,6512470,32695152937,5020,1530.745864,1531
2017,Liberia,1308,CAF,2.16E+09,4731906,456,1,0,5241991,6273951517,1197,1530.593606,1531
2017,Central African Republic,1297,CAF,1949411659,4659080,418,1,0,4928008,5689558176,1155,1529.916406,1530
2017,Gambia,1278,CAF,1014621520,2100568,483,1,0,2372626,2911572265,1227,1529.557138,1530
