Year,Country,Elo,CONF,PopulationOLD,X4yrAgoGDP,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC,Population, GDP ,GDPPER
2017,Afghanistan,1149,AFC,39301491,52614714790,1339,0,0,43473224,94468310047,2173
2017,Albania,1610,UEFA,2862910,16449826816,5746,1,0,2852402,20229246385,7092
2017,Algeria,1539,CAF,44320524,233000000000,5258,1,0,47541074,309615792946,6513
2017,Andorra,1012,UEFA,75716,3356567317,44331,.,0,74488,3732595461,50110
2017,Angola,1242,CAF,34080945,181000000000,5317,1,0,38997559,256870275798,6587
2017,Antigua and Barbuda,1204,CONCACAF,106341,1854122482,17436,0,0,110854,2231136368,20127
2017,ArgentiNA,1984,CONMEBOL,46015341,766000000000,16641,1,0,47828368,914275374925,19116
2017,Armenia,1481,UEFA,2953117,14990230121,5076,.,0,2975959,18883362736,6345
2017,Australia,1728,AFC,26227990,1590000000000,60451,0,0,27964931,1896658750379,67823
2017,Austria,1710,UEFA,9106711,486000000000,53342,1,0,9414257,565580399380,60077
2017,Azerbaijan,1401,UEFA,10294584,54444895230,5289,0,0,10745675,70666991677,6576
2017,Bahrain,1417,AFC,1803475,48792112021,27054,1,0,2179122,67207633606,30842
2017,Bangladesh,806,AFC,171763528,402000000000,2339,0,0,179162896,578844882659,3231
2017,Barbados,1138,CONCACAF,288633,5600931701,19405,0,0,291577,6508376975,22321
2017,Belarus,1498,UEFA,9533290,67338416290,7064,1,0,9558773,81756611952,8553
2017,Belgium,1928,UEFA,11536411,564000000000,48907,1,0,11703129,645075389040,55120
2017,Belize,1158,CONCACAF,407607,2510015213,6158,.,0,443426,3349459238,7554
2017,Benin,1415,CAF,12495418,20150742490,1613,.,0,13970989,34700994399,2484
2017,Bhutan,591,AFC,848476,3525908758,4156,0,0,891410,4743663414,5322
2017,Bolivia,1707,CONMEBOL,11736716,52421743891,4466,1,0,12464304,70537256929,5659
2017,Bosnia and HerzegoviNA,1723,UEFA,3468147,22410619105,6462,1,0,3429708,27057830207,7889
2017,BotswaNA,1253,CAF,2466673,22580640141,9154,.,0,2655050,28914445091,10890
2017,Brazil,2114,CONMEBOL,215986401,2440000000000,11301,1,0,222898892,2872933138037,12889
2017,Bulgaria,1621,UEFA,6873139,66215272807,9634,1,0,6676102,76230083980,11418
2017,BurkiNA Faso,1606,CAF,21582786,30967069269,1435,1,0,24269650,55421745620,2284
2017,Burundi,1317,CAF,12363552,12920303188,1045,.,0,14069769,26053615582,1852
2017,Cambodia,810,AFC,17023438,37931019846,2228,0,0,18106260,57333629250,3167
2017,Cameroon,1646,CAF,26713353,61342798110,2296,1,0,29667054,96076571964,3238
2017,CaNAda,1524,CONCACAF,38548334,1950000000000,50623,0,0,40480841,2299571200163,56806
2017,Central African Republic,1297,CAF,4928008,5689558176,1155,1,0,5212459,10297510141,1976
