Year,Country,YearCountry,WCPREVYEARQUALIFY
1981,Algeria,1981Algeria,1
1985,Algeria,1985Algeria,1
2009,Algeria,2009Algeria,1
2013,Algeria,2013Algeria,1
2005,Angola,2005Angola,1
1961,Argentina,1961Argentina,1
1965,Argentina,1965Argentina,1
1973,Argentina,1973Argentina,1
1977,Argentina,1977Argentina,1
1981,Argentina,1981Argentina,1
1985,Argentina,1985Argentina,1
1989,Argentina,1989Argentina,1
1993,Argentina,1993Argentina,1
1997,Argentina,1997Argentina,1
2001,Argentina,2001Argentina,1
2005,Argentina,2005Argentina,1
2009,Argentina,2009Argentina,1
2013,Argentina,2013Argentina,1
2017,Argentina,2017Argentina,1
1973,Australia,1973Australia,1
2005,Australia,2005Australia,1
2009,Australia,2009Australia,1
2013,Australia,2013Australia,1
2017,Australia,2017Australia,1
1977,Austria,1977Austria,1
1981,Austria,1981Austria,1
1989,Austria,1989Austria,1
1997,Austria,1997Austria,1
1969,Belgium,1969Belgium,1
1981,Belgium,1981Belgium,1
1985,Belgium,1985Belgium,1
1989,Belgium,1989Belgium,1
1993,Belgium,1993Belgium,1
1997,Belgium,1997Belgium,1
2001,Belgium,2001Belgium,1
2013,Belgium,2013Belgium,1
2017,Belgium,2017Belgium,1
1993,Bolivia,1993Bolivia,1
2013,Bosnia and Herzegovina,2013Bosnia and Herzegovina,1
1961,Brazil,1961Brazil,1
1965,Brazil,1965Brazil,1
1969,Brazil,1969Brazil,1
1973,Brazil,1973Brazil,1
1977,Brazil,1977Brazil,1
1981,Brazil,1981Brazil,1
1985,Brazil,1985Brazil,1
1989,Brazil,1989Brazil,1
1993,Brazil,1993Brazil,1
1997,Brazil,1997Brazil,1
2001,Brazil,2001Brazil,1
2005,Brazil,2005Brazil,1
2009,Brazil,2009Brazil,1
2013,Brazil,2013Brazil,1
2017,Brazil,2017Brazil,1
1961,Bulgaria,1961Bulgaria,1
1965,Bulgaria,1965Bulgaria,1
1969,Bulgaria,1969Bulgaria,1
1973,Bulgaria,1973Bulgaria,1
1985,Bulgaria,1985Bulgaria,1
1993,Bulgaria,1993Bulgaria,1
1997,Bulgaria,1997Bulgaria,1
1981,Cameroon,1981Cameroon,1
1989,Cameroon,1989Cameroon,1
1993,Cameroon,1993Cameroon,1
1997,Cameroon,1997Cameroon,1
2001,Cameroon,2001Cameroon,1
2009,Cameroon,2009Cameroon,1
2013,Cameroon,2013Cameroon,1
1985,Canada,1985Canada,1
1961,Chile,1961Chile,1
1965,Chile,1965Chile,1
1973,Chile,1973Chile,1
1981,Chile,1981Chile,1
1997,Chile,1997Chile,1
2009,Chile,2009Chile,1
2013,Chile,2013Chile,1
2001,China,2001China,1
1961,Colombia,1961Colombia,1
1989,Colombia,1989Colombia,1
1993,Colombia,1993Colombia,1
1997,Colombia,1997Colombia,1
2013,Colombia,2013Colombia,1
2017,Colombia,2017Colombia,1
1973,Congo,1973Congo,1
1989,Costa Rica,1989Costa Rica,1
2001,Costa Rica,2001Costa Rica,1
2005,Costa Rica,2005Costa Rica,1
2013,Costa Rica,2013Costa Rica,1
2017,Costa Rica,2017Costa Rica,1
2005,Cote d'Ivoire,2005Cote d'Ivoire,1
2009,Cote d'Ivoire,2009Cote d'Ivoire,1
2013,Cote d'Ivoire,2013Cote d'Ivoire,1
1997,Croatia,1997Croatia,1
2001,Croatia,2001Croatia,1
2005,Croatia,2005Croatia,1
2013,Croatia,2013Croatia,1
2017,Croatia,2017Croatia,1
1961,Czech Republic,1961Czech Republic,1
1969,Czech Republic,1969Czech Republic,1
