Rank,Year,Country,Elo,CONF,WCYEAR,WCPREVYEAR,WCQUALIFY,GDP,Population,GDPPER,FAVSPORT,GENPLAYERNUM,GENPLAYERYN,AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGECOUNT,HEIGHTCOUNT,Place,MaxRounds,Perf,PerfPer,1yrPopChg,1yrPopROC,4yrPopChg,4yrPopROC,5yrPopChg,5yrPopROC,8yrPopChg,8yrPopROC,10yrPopChg,10yrPopROC,1yrGDPChg,1yrGDPROC,4yrGDPChg,4yrGDPROC,5yrGDPChg,5yrGDPROC,8yrGDPChg,8yrGDPROC,10yrGDPChg,10yrGDPROC,1yrGDPPerChg,1yrGDPPerROC,4yrGDPPerChg,4yrGDPPerROC,5yrGDPPerChg,5yrGDPPerROC,8yrGDPPerChg,8yrGDPPerROC,10yrGDPPerChg,10yrGDPPerROC,1yrELOChg,1yrELOROC,4yrELOChg,4yrELOROC,5yrELOChg,5yrELOROC,8yrELOChg,8yrELOROC,10yrELOChg,10yrELOROC
201,1998,Afghanistan,862,AFC,1,0,0,.,18863999,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
199,1999,Afghanistan,862,AFC,0,0,0,.,19403676,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,539677,0.028608833,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.
200,2000,Afghanistan,862,AFC,0,0,0,.,20093756,.,0,0,0,.,.,.,.,.,.,.,.,.,.,.,690080,0.035564395,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.
203,2001,Afghanistan,862,AFC,0,1,0,2461665938,20966463,117.4096908,0,0,0,.,.,.,.,.,.,.,.,.,.,.,872707,0.043431751,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.
202,2002,Afghanistan,862,AFC,1,0,0,4128820723,21979923,187.845095,0,0,0,.,.,.,.,.,.,.,.,.,.,.,1013460,0.048337194,3115924,0.165178338,.,.,.,.,.,.,1667154785,0.677246559,.,.,.,.,.,.,.,.,70.43540416,0.599911333,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.
206,2003,Afghanistan,817,AFC,0,0,0,4583644246,23064851,198.7285436,0,0,0,.,.,.,.,.,.,.,.,.,.,.,1084928,0.049359955,3661175,0.188684608,4200852,0.222691488,.,.,.,.,454823523.4,0.110158216,.,.,.,.,.,.,.,.,10.8834486,0.057938423,.,.,.,.,.,.,.,.,-45,-0.052204176,-45,-0.052204176,-45,-0.052204176,.,.,.,.
206,2004,Afghanistan,817,AFC,0,0,0,5285465686,24118979,219.1413528,0,0,0,.,.,.,.,.,.,.,.,.,.,.,1054128,0.045702788,4025223,0.20032208,4715303,0.243010809,.,.,.,.,701821439.4,0.153114291,.,.,.,.,.,.,.,.,20.41280923,0.102717047,.,.,.,.,.,.,.,.,0,0,-45,-0.052204176,-45,-0.052204176,.,.,.,.
206,2005,Afghanistan,809,AFC,0,1,0,6275073572,25070798,250.2941299,0,0,0,.,.,.,.,.,.,.,.,.,.,.,951819,0.039463486,4104335,0.195757148,4977042,0.247690974,.,.,.,.,989607885.7,0.187231919,3813407634,1.549116627,.,.,.,.,.,.,31.15277712,0.142158368,132.8844391,1.131801287,.,.,.,.,.,.,-8,-0.009791922,-53,-0.061484919,-53,-0.061484919,.,.,.,.
205,2006,Afghanistan,811,AFC,1,0,0,7057598407,25893450,272.563077,0,0,0,.,.,.,.,.,.,.,.,.,.,.,822652,0.032813156,3913527,0.178050078,4926987,0.234993714,4926987,0.234993714,.,.,782524835.1,0.124703691,2928777684,0.709349686,4595932469,1.867000879,.,.,.,.,22.26894711,0.088971112,84.71798206,0.450999171,155.1533862,1.321470018,.,.,.,.,2,0.002472188,-51,-0.059164733,-51,-0.059164733,-51,-0.059164733,.,.
205,2007,Afghanistan,809,AFC,0,0,0,9843842455,26616792,369.835796,0,0,0,.,.,.,.,.,.,.,.,.,.,.,723342,0.027935327,3551941,0.153998003,4636869,0.210959292,4636869,0.210959292,.,.,2786244049,0.394786426,5260198209,1.147601761,5715021732,1.384177739,.,.,.,.,97.27271895,0.356881497,171.1072524,0.861009945,181.990701,0.968833927,.,.,.,.,-2,-0.002466091,-8,-0.009791922,-53,-0.061484919,-53,-0.061484919,.,.
